,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0
10.0,51.339,67.392,82.23,93.518,103.59,112.95,109.72,128.68,133.88,137.22
20.0,65.607,84.275,103.1,113.18,126.77,136.88,143.61,140.64,147.34,157.26
30.0,70.034,97.752,104.05,116.68,124.48,132.44,151.81,157.67,162.14,182.83
40.0,80.956,105.43,116.96,133.53,143.86,159.9,170.91,180.55,188.93,195.42
50.0,73.613,101.31,121.55,138.12,151.67,162.19,169.71,182.94,189.5,193.32
60.0,97.434,122.74,139.32,157.15,173.27,182.0,197.12,201.57,213.47,224.4
70.0,88.581,109.63,132.94,147.79,161.34,173.12,188.22,199.15,211.27,220.49
80.0,79.982,106.06,118.75,131.88,149.98,163.05,173.23,188.73,203.75,206.59
90.0,83.062,112.52,127.43,144.72,160.41,177.68,190.57,200.7,208.25,213.93
100.0,94.973,114.7,133.31,151.63,170.49,175.51,188.17,203.26,206.95,222.19
