,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0
0.0,0.005671100000000001,0.043841000000000005,0.097928,0.13883,0.18379,0.26241,0.31277,0.37008,0.38461999999999996,0.40039,0.49505,0.46228,0.58621,0.6087,0.65971,0.6582,0.6992,0.7608699999999999,0.76735,0.78033
10.0,0.0,0.030132,0.059054999999999996,0.086538,0.19335,0.18919,0.24791999999999997,0.2834,0.36025,0.36791,0.47465,0.46828000000000003,0.47148,0.5475300000000001,0.57263,0.60911,0.72868,0.72937,0.76673,0.75198
20.0,0.0,0.014085,0.039063,0.070423,0.08413,0.14747000000000002,0.21384,0.26638,0.30196,0.37882,0.501,0.45102,0.50269,0.52323,0.61044,0.7058800000000001,0.6284,0.72628,0.72912,0.7209800000000001
30.0,0.0,0.0,0.01938,0.075397,0.10387,0.1499,0.17282,0.22305,0.26369000000000004,0.3248,0.39148,0.38095,0.508,0.5634600000000001,0.5838399999999999,0.59528,0.67179,0.69025,0.69455,0.73333
40.0,0.0,0.0,0.0055762,0.036437,0.034068,0.095331,0.14751,0.20583,0.2191,0.32689,0.37449,0.46613999999999994,0.43863,0.56304,0.63825,0.61024,0.6237,0.7007899999999999,0.68347,0.72222
50.0,0.0,0.0,0.0020408,0.025896,0.035857,0.07484400000000001,0.11546,0.20263,0.26535,0.29339,0.41,0.43446,0.5049100000000001,0.5098,0.5729,0.61771,0.65882,0.70716,0.6771699999999999,0.72538
60.0,0.0,0.0,0.0,0.009881399999999999,0.040619,0.072187,0.11696,0.18219000000000002,0.17578,0.28231,0.2956,0.39148,0.54095,0.49903000000000003,0.55796,0.57934,0.6986,0.59443,0.70398,0.6927800000000001
70.0,0.0,0.0,0.0,0.0020284,0.008316,0.070342,0.09434,0.14087,0.13733,0.25,0.27495,0.39105,0.45992,0.5144,0.49467,0.65289,0.6510699999999999,0.69245,0.66333,0.66414
80.0,0.0,0.0,0.0,0.0,0.0089928,0.048076999999999995,0.056285,0.14286,0.15129,0.19322999999999999,0.26779000000000003,0.31478,0.408,0.45683999999999997,0.51546,0.57202,0.6097600000000001,0.62402,0.65558,0.6761699999999999
90.0,0.0,0.0,0.0,0.0,0.007984,0.031682999999999996,0.073559,0.11832000000000001,0.12805999999999998,0.14095,0.26376,0.32427,0.36134,0.41928999999999994,0.51969,0.5824600000000001,0.60314,0.61569,0.64899,0.7396199999999999
100.0,0.0,0.0,0.0,0.0,0.0020491999999999997,0.026971,0.061311000000000004,0.081481,0.13552999999999998,0.22178,0.1917,0.24288,0.39718000000000003,0.42658999999999997,0.47136999999999996,0.5605100000000001,0.5767,0.6308,0.66937,0.65517
110.0,0.0,0.0,0.0,0.0,0.004158,0.0038986,0.01711,0.045817000000000004,0.086614,0.19612000000000002,0.19763,0.25296,0.32252,0.35404,0.49903000000000003,0.51502,0.63136,0.5826899999999999,0.6729,0.6412399999999999
120.0,0.0,0.0,0.0,0.0,0.0,0.0035842,0.0059172,0.027933,0.07172100000000001,0.16901,0.21673,0.29921,0.27255,0.41408,0.45566999999999996,0.46466999999999997,0.5456300000000001,0.6075699999999999,0.6791699999999999,0.66478
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039369999999999995,0.017682,0.084746,0.098672,0.17165999999999998,0.24059,0.33333,0.34068000000000004,0.41188,0.45983999999999997,0.50573,0.62325,0.60264,0.6163
140.0,0.0,0.0,0.0,0.0,0.0,0.0019646,0.0019048,0.006097600000000001,0.061475,0.087719,0.15631,0.19112,0.26489,0.34426,0.35925999999999997,0.5010399999999999,0.49375,0.60542,0.59623,0.6558
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0375,0.022869,0.09765599999999999,0.13525,0.15052000000000001,0.22934000000000002,0.27944,0.35669,0.48733000000000004,0.5273399999999999,0.54618,0.5935699999999999,0.60852
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014787,0.054108,0.05374299999999999,0.098814,0.16109,0.21881,0.26168,0.38986,0.51235,0.5179699999999999,0.49393000000000004,0.63017,0.60288
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020120999999999997,0.0057692,0.036538,0.054581,0.096712,0.21402,0.19460999999999998,0.30285,0.3215,0.37037,0.46813,0.54545,0.58594,0.52896
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020619,0.037975,0.045082,0.07142899999999999,0.07551000000000001,0.15205,0.29638000000000003,0.28543,0.36082,0.47544,0.5149699999999999,0.56855,0.61024
190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020619,0.011788,0.020747,0.056451999999999995,0.11110999999999999,0.1498,0.19124000000000002,0.30485,0.342,0.43061000000000005,0.47418999999999994,0.52273,0.53747
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005940600000000001,0.0039683,0.054766999999999996,0.10400000000000001,0.15542999999999998,0.23214,0.29508,0.39876,0.41129,0.53425,0.56107,0.5393899999999999
